,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Rain (inches),Snow (inches)
0,Bluff,-46.6,168.33,49.55,77,93,19.82,light rain,NZ,0.15,0
1,Hobart,-42.88,147.33,39.0,100,0,5.82,clear sky,AU,0.0,0
2,Santa Rosa,14.31,121.11,84.99,78,100,4.0,light rain,PH,0.33,0
3,East London,-33.02,27.91,77.94,33,98,14.23,overcast clouds,ZA,0.0,0
4,Uruzgan,32.83,66.0,68.07,20,0,1.63,clear sky,AF,0.0,0
5,Usinsk,65.99,57.53,79.81,62,0,11.52,light rain,RU,0.13,0
6,Ushuaia,-54.8,-68.3,37.4,74,20,3.36,few clouds,AR,0.0,0
7,Hilo,19.73,-155.09,73.4,73,90,6.22,overcast clouds,US,0.0,0
8,Nambucca Heads,-30.65,153.0,57.2,87,90,3.36,overcast clouds,AU,0.0,0
9,Hong Gai,20.96,107.09,87.8,79,100,14.99,moderate rain,VN,2.5,0
10,Sambava,-14.27,50.17,71.33,79,32,18.1,light rain,MG,0.12,0
11,Jamestown,42.1,-79.24,84.2,62,1,4.7,clear sky,US,0.0,0
12,Hithadhoo,-0.6,73.08,85.21,68,100,3.51,overcast clouds,MV,0.0,0
13,Dikson,73.51,80.55,44.22,83,0,16.75,clear sky,RU,0.0,0
14,Barrow,71.29,-156.79,35.6,93,90,10.29,mist,US,0.0,0
15,Mataura,-46.19,168.86,41.74,92,94,5.35,overcast clouds,NZ,0.0,0
16,Lorengau,-2.02,147.27,82.31,77,87,9.66,overcast clouds,PG,0.0,0
17,Ancud,-41.87,-73.82,51.01,81,75,11.41,broken clouds,CL,0.0,0
18,Pevek,69.7,170.31,48.25,71,91,4.68,overcast clouds,RU,0.0,0
19,Kapaa,22.08,-159.32,77.0,83,90,14.99,moderate rain,US,2.03,0
20,Tiznit,29.58,-9.5,82.67,28,0,9.69,clear sky,MA,0.0,0
21,Victoria,22.29,114.16,86.0,74,100,11.01,overcast clouds,HK,0.0,0
22,Pisco,-13.7,-76.22,64.4,72,90,6.93,overcast clouds,PE,0.0,0
23,Bandar,2.05,99.75,73.8,92,100,1.19,light rain,ID,0.56,0
24,Sulangan,11.14,123.72,84.45,72,41,7.38,light rain,PH,0.13,0
25,Lebu,-37.62,-73.65,53.33,93,100,23.33,light rain,CL,0.2,0
26,Yellowknife,62.46,-114.35,60.8,63,75,4.7,broken clouds,CA,0.0,0
27,New Norfolk,-42.78,147.06,36.0,91,2,2.91,clear sky,AU,0.0,0
28,Port Hedland,-20.32,118.57,60.8,23,0,8.05,clear sky,AU,0.0,0
29,Puerto Ayora,-0.74,-90.35,68.0,95,98,5.99,overcast clouds,EC,0.0,0
30,Hermanus,-34.42,19.23,54.0,87,100,5.01,moderate rain,ZA,3.09,0
31,Rikitea,-23.12,-134.97,68.2,63,14,16.51,few clouds,PF,0.0,0
32,Sangamner,19.57,74.22,78.12,75,100,7.54,overcast clouds,IN,0.0,0
33,Petropavlovsk-Kamchatskiy,53.05,158.65,55.4,100,90,0.63,mist,RU,0.0,0
