,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,East London,ZA,77.94,overcast clouds,-33.02,27.91,Tu Casa
11,Jamestown,US,84.2,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
12,Hithadhoo,MV,85.21,overcast clouds,-0.6,73.08,Scoop Guest House
16,Lorengau,PG,82.31,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
20,Tiznit,MA,82.67,clear sky,29.58,-9.5,
21,Victoria,HK,86.0,overcast clouds,22.29,114.16,Mini Hotel Central
32,Sangamner,IN,78.12,overcast clouds,19.57,74.22,Panchavati Group of Hotels & Motels
41,Ixtapa,MX,82.99,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
44,Cocorit,MX,89.6,overcast clouds,27.58,-109.97,motel kaba
49,Kaspiyskiy,RU,86.58,broken clouds,45.39,47.37,"Gostinitsa ""Gostevoy Dvor"""
52,Sao Filipe,CV,76.86,clear sky,14.9,-24.5,Tortuga B&B
55,Nhulunbuy,AU,75.2,overcast clouds,-12.23,136.77,East Arnhem Real Estate
57,Twentynine Palms,US,90.0,clear sky,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
60,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
62,Meulaboh,ID,77.95,overcast clouds,4.14,96.13,Kost Pria
63,Guerrero Negro,MX,76.03,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
66,Albany,US,86.0,clear sky,42.6,-73.97,
69,Caravelas,BR,81.59,clear sky,-17.71,-39.25,Pousada dos Navegantes
70,Alugan,PH,81.36,scattered clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
77,Sakaiminato,JP,77.0,broken clouds,35.55,133.23,味処・民宿 まつや
78,Kudahuvadhoo,MV,84.22,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
81,Xuchang,CN,75.2,clear sky,34.02,113.82,Super 8 Hotel
83,Faanui,PF,76.17,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
88,Wattegama,LK,78.8,few clouds,6.8,81.48,
90,Laguna,US,75.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
92,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
93,Kavieng,PG,82.42,few clouds,-2.57,150.8,Nusa Island Retreat
96,Atuona,PF,79.39,few clouds,-9.8,-139.03,Villa Enata
97,Cabo San Lucas,MX,86.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
100,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
104,Vanimo,PG,77.95,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
105,Cayenne,GF,86.0,thunderstorm,4.93,-52.33,Hôtel Le Dronmi
112,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
113,Touros,BR,82.4,shower rain,-5.2,-35.46,INN NEW HORIZON
115,Bandarbeyla,SO,79.7,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
120,Bubaque,GW,82.9,broken clouds,11.28,-15.83,Casa Dora
130,Bani Walid,LY,87.13,clear sky,31.76,13.99,منزل الصابر أبوفانة
138,Cabedelo,BR,84.2,broken clouds,-6.98,-34.83,Lua Mansa Pousada
148,Dong Hoi,VN,84.81,overcast clouds,17.48,106.6,Nam Long Hotel
152,Kismayo,SO,78.55,clear sky,-0.36,42.55,Agan-Hotel
155,Kloulklubed,PW,77.0,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
156,Kralendijk,BQ,89.6,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
157,Labuhan,ID,76.06,overcast clouds,-6.88,112.21,bador sepret
159,Odweyne,SO,83.21,broken clouds,9.41,45.06,Eng Hiirey House
160,Kenora,CA,75.2,scattered clouds,49.82,-94.43,Maynard Lake Lodge
165,Fereydun Kenar,IR,84.2,clear sky,36.69,52.52,Khezer Shahr Tourist Hotel
170,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
185,Nishihara,JP,82.4,scattered clouds,26.18,127.76,Minshuku Agaihama
189,Santana,BR,82.4,broken clouds,-0.06,-51.18,Porto Santana
190,Komsomolskiy,UZ,84.2,scattered clouds,40.43,71.72,Ikathouse
198,Riviere-Au-Renard,CA,75.2,broken clouds,49.0,-64.4,Auberge Le Caribou
204,Codroipo,IT,86.0,few clouds,45.96,12.98,Ai Gelsi Hotel
205,Faya,SA,78.8,few clouds,18.39,42.45,مقبرة ال مجمل
207,Argentan,FR,82.4,clear sky,48.75,-0.02,Hostellerie De La Renaissance
210,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
211,Iquitos,PE,87.8,few clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
213,Itoman,JP,82.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
218,Muros,ES,86.0,few clouds,42.78,-9.06,Apartment Av. Castelao
219,Tecoanapa,MX,87.53,overcast clouds,16.52,-98.75,Hotel Manglares
221,Mahajanga,MG,78.8,clear sky,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
223,Pyapon,MM,79.9,overcast clouds,16.28,95.68,Aung Naing Thu Motel
225,Bacabal,BR,89.91,few clouds,-4.29,-44.79,Rancho Sol Nascente
226,Broome,US,88.0,clear sky,42.25,-75.83,Chenango Valley State Park
228,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
232,Wajir,KE,86.0,few clouds,1.75,40.06,Al- Amin lodge
234,Svetlyy Yar,RU,86.0,few clouds,48.47,44.78,Izluchina Hotel
235,Conde,BR,84.2,broken clouds,-7.26,-34.91,Pousada Beija Flor
242,Bethel,US,86.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
243,Road Town,VG,89.6,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
246,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
248,Novoorsk,RU,82.4,few clouds,51.38,58.98,Gostevoi dom >
251,Papara,BR,82.4,broken clouds,-3.98,-38.73,Bela vista Maranguape
253,Aden,YE,88.63,broken clouds,12.78,45.04,Sama Emirate Hotel
256,Jiwani,PK,87.04,overcast clouds,25.05,61.74,Al Mumtaz Transport Jiwani
257,Eyl,SO,80.83,overcast clouds,7.98,49.82,Amiin Hotel
259,North Myrtle Beach,US,86.0,broken clouds,33.82,-78.68,Avista Resort
261,Culiacan,MX,87.01,broken clouds,24.8,-107.39,Hotel Lucerna Culiacan
269,Owando,CG,82.15,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
270,San Andres,CO,80.6,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
272,Sidi Ali,DZ,77.2,clear sky,36.1,0.42,
273,Nouadhibou,MR,87.8,clear sky,20.93,-17.03,El Medina
274,Jieshi,CN,83.53,overcast clouds,22.81,115.83,Yuehai Hotel
281,Birao,CF,75.87,overcast clouds,10.28,22.79,
282,Rundu,,75.2,clear sky,-17.93,19.77,Millennia Estate
284,Pindi Gheb,PK,89.6,haze,33.24,72.27,Waqas Ali Home
285,Yarensk,RU,82.92,clear sky,62.17,49.09,Outskirts hotel
289,Sola,VU,78.8,overcast clouds,-13.88,167.55,Leumerus Bungalows
290,Boa Vista,BR,89.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
295,Manta,EC,76.24,overcast clouds,-0.95,-80.73,Balandra Hotel
299,Isernia,IT,87.01,broken clouds,41.6,14.24,Hotel Europa Depandance
303,Morehead,US,87.8,clear sky,37.27,-87.18,CCI Express Inn
307,Cruz Grande,MX,84.2,broken clouds,16.73,-99.13,Hotel Camila
310,Paredon,MX,87.22,overcast clouds,16.03,-93.87,Hotel Principal Paredon
